CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
JE266853,2021-06-15T09:43:00,077XX S YATES BLVD,560,ASSAULT,SIMPLE,APARTMENT,False,Y,421,7,08A,1193543,1854043,41.75444,-87.5663,"(41.754443092, -87.566288239)"
JE266537,2021-06-15T08:10:00,099XX S WESTERN AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,N,2213,19,7,1162136,1838580,41.71272,-87.6818,"(41.712720927, -87.681813981)"
JE266578,2021-06-15T09:10:00,010XX E 79TH ST,041A,BATTERY,AGGRAVATED - HANDGUN,SIDEWALK,False,N,624,8,04B,1184509,1852836,41.75135,-87.5994,"(41.751347216, -87.59943231)"
JE267110,2021-06-15T04:20:00,001XX N MICHIGAN AVE,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,N,114,42,6,1177271,1901522,41.88511,-87.6245,"(41.885112119, -87.624484053)"
JE267092,2021-06-15T08:25:00,029XX N LINDER AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,N,2514,31,14,1139193,1919067,41.93404,-87.7639,"(41.934035613, -87.763886276)"
JE266388,2021-06-15T00:45:00,011XX N LAKE SHORE DR,110,HOMICIDE,FIRST DEGREE MURDER,AUTO,False,N,1824,2,01A,1177197,1907909,41.90264,-87.6246,"(41.902640036, -87.624562043)"
JE267498,2021-06-15T22:45:00,038XX W FLOURNOY ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,N,1133,24,01A,1150880,1896755,41.87259,-87.7215,"(41.872588258, -87.721521251)"
JE267253,2021-06-15T01:00:00,033XX N KENNETH AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,Y,1731,30,08B,1146127,1921794,41.94139,-87.7383,"(41.941389537, -87.738334157)"
JE267251,2021-06-15T16:30:00,003XX S SACRAMENTO BLVD,325,ROBBERY,VEHICULAR HIJACKING,STREET,False,N,1124,28,3,1156435,1898257,41.8766,-87.7011,"(41.876599436, -87.701085626)"
JE143283,2021-02-16T17:35:00,017XX W 119TH ST,460,BATTERY,SIMPLE,RESTAURANT,False,N,2234,34,08B,1166691,1825767,41.67746,-87.6655,"(41.677464116, -87.665495904)"
JD390623,2020-09-30T12:00:00,018XX N Sedgwick St,810,THEFT,OVER $500,RESIDENCE,False,N,1814,43,6,1173303,1912547,41.91545,-87.6387,"(41.915454333, -87.638727274)"
JE285323,2021-06-30T20:23:00,065XX S BISHOP ST,460,BATTERY,SIMPLE,SIDEWALK,False,N,725,16,08B,1167788,1861475,41.77543,-87.6605,"(41.775428827, -87.660458852)"
JE247585,2020-10-08T12:00:00,065XX S PEORIA ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,N,False,723,6,11,,,,,,
JD381795,2020-09-13T12:00:00,015XX N KINGSBURY ST,810,THEFT,OVER $500,GROCERY FOOD STORE,True,N,1822,27,6,1169505,1910252,41.90924,-87.6527,"(41.909240284, -87.65274758)"
JE148785,2020-04-12T11:50:00,020XX N BURLING ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,N,False,1812,43,11,,,,,,
JE271994,2021-06-19T13:05:00,0000X N DEARBORN ST,870,THEFT,POCKET-PICKING,CTA PLATFORM,False,N,112,42,6,,,,,
JD394860,2020-08-10T07:30:00,054XX N KEDZIE AVE,820,THEFT,$500 AND UNDER,STREET,False,N,1712,40,6,1154065,1935878,41.97988,-87.7088,"(41.979882033, -87.70878139)"
JD393050,2020-08-10T17:10:00,015XX N LINDER AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,Y,2532,37,08B,1139392,1909706,41.90834,-87.7634,"(41.90834437, -87.763383589)"
JD392460,2020-08-10T08:20:00,047XX W NORTH AVE,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,N,2533,37,6,1144311,1910210,41.90964,-87.7453,"(41.909636288, -87.745300725)"
JD393039,2020-08-10T16:18:00,014XX W 87TH ST,1330,CRIMINAL TRESPASS,TO LAND,GAS STATION,True,N,614,21,26,1168433,1847060,41.73586,-87.6585,"(41.735858253, -87.658508857)"
JD393465,2020-08-10T15:41:00,019XX N RICHMOND ST,820,THEFT,$500 AND UNDER,RESIDENCE - PORCH / HALLWAY,False,N,1421,1,6,,,,,
